Sounddatei 	Dauer 	Arithmetisches Mittel 	Median 	Min 	Max 	StD 	Range 
m041_bucharest_d2_2b_04_cut	 6.834416666666667	 117.76535153584891	114.74380066022334	66.67332420603523	 191.64947553759276	 21.9191037918367	 124.97615133155753
 m090_riyadh_d2_2b_04	 7.4679166666666665	 140.9549586165273	139.22754609037548	115.85182795512364	 186.19202499456551	 14.121566321920412	 70.34019703944188
 m097_basseterre_d2_2b_02	 7.873083333333334	 123.51116402848062	120.17267452629488	63.313547247189184	 227.1508932309045	 25.699172036565294	 163.83734598371532
 m294_portauprince_d2_2b_08	 5.6922291666666665	 157.03159845811055	159.63476123184023	115.22020087743743	 222.24037166198696	 26.131513305692142	 107.02017078454952
 w102_aden_d2_2b_05	 6.8075625	 206.5670694038197	207.57838994141778	100.15044777408268	 314.32732364292445	 38.24110134093354	 214.17687586884176
 w161_vaitele_d2_2b_05	 6.4029375	 224.13369454094655	229.942898287381	145.72979608074576	 309.7693123278452	 37.22575603496598	 164.03951624709947
 w257_nasinu_d2_2b_13	 7.352604166666667	 213.14248268726533	210.38091530758624	104.19253727514776	 370.0926126859089	 45.82261128060994	 265.90007541076113
 w266_turkmenabat_d2_2b_07	 6.882333333333333	 227.82741272916496	233.0626794606114	175.63131011273188	 317.19105574570904	 25.317779614432776	 141.55974563297715
 
